time,Htđ
1/1/2016 0:00,2.07
1/1/2016 1:00,2.07
1/1/2016 2:00,2.03
1/1/2016 3:00,1.94
1/1/2016 4:00,1.82
1/1/2016 5:00,1.67
1/1/2016 6:00,1.53
1/1/2016 7:00,1.41
1/1/2016 8:00,1.34
1/1/2016 9:00,1.31
1/1/2016 10:00,1.34
1/1/2016 11:00,1.42
1/1/2016 12:00,1.52
1/1/2016 13:00,1.62
1/1/2016 14:00,1.73
1/1/2016 15:00,1.81
1/1/2016 16:00,1.85
1/1/2016 17:00,1.87
1/1/2016 18:00,1.87
1/1/2016 19:00,1.87
1/1/2016 20:00,1.87
1/1/2016 21:00,1.88
1/1/2016 22:00,1.90
1/1/2016 23:00,1.92
1/2/2016 0:00,1.94
1/2/2016 1:00,1.95
1/2/2016 2:00,1.93
1/2/2016 3:00,1.89
1/2/2016 4:00,1.81
1/2/2016 5:00,1.71
1/2/2016 6:00,1.60
1/2/2016 7:00,1.50
1/2/2016 8:00,1.43
1/2/2016 9:00,1.39
1/2/2016 10:00,1.41
1/2/2016 11:00,1.46
1/2/2016 12:00,1.54
1/2/2016 13:00,1.64
1/2/2016 14:00,1.74
1/2/2016 15:00,1.83
1/2/2016 16:00,1.89
1/2/2016 17:00,1.92
1/2/2016 18:00,1.91
1/2/2016 19:00,1.90
1/2/2016 20:00,1.87
1/2/2016 21:00,1.85
1/2/2016 22:00,1.83
1/2/2016 23:00,1.82
1/3/2016 0:00,1.81
1/3/2016 1:00,1.81
1/3/2016 2:00,1.81
1/3/2016 3:00,1.79
1/3/2016 4:00,1.75
1/3/2016 5:00,1.69
1/3/2016 6:00,1.63
1/3/2016 7:00,1.56
1/3/2016 8:00,1.50
1/3/2016 9:00,1.47
1/3/2016 10:00,1.47
1/3/2016 11:00,1.51
1/3/2016 12:00,1.58
1/3/2016 13:00,1.66
1/3/2016 14:00,1.76
1/3/2016 15:00,1.86
1/3/2016 16:00,1.93
1/3/2016 17:00,1.97
1/3/2016 18:00,1.97
1/3/2016 19:00,1.95
1/3/2016 20:00,1.91
1/3/2016 21:00,1.85
1/3/2016 22:00,1.79
1/3/2016 23:00,1.74
1/4/2016 0:00,1.70
1/4/2016 1:00,1.68
1/4/2016 2:00,1.67
1/4/2016 3:00,1.66
1/4/2016 4:00,1.65
1/4/2016 5:00,1.63
1/4/2016 6:00,1.61
1/4/2016 7:00,1.58
1/4/2016 8:00,1.55
1/4/2016 9:00,1.53
1/4/2016 10:00,1.53
1/4/2016 11:00,1.55
1/4/2016 12:00,1.61
1/4/2016 13:00,1.69
1/4/2016 14:00,1.78
1/4/2016 15:00,1.88
1/4/2016 16:00,1.97
1/4/2016 17:00,2.02
1/4/2016 18:00,2.04
1/4/2016 19:00,2.02
1/4/2016 20:00,1.97
1/4/2016 21:00,1.89
1/4/2016 22:00,1.80
1/4/2016 23:00,1.71
1/5/2016 0:00,1.63
1/5/2016 1:00,1.57
1/5/2016 2:00,1.53
1/5/2016 3:00,1.52
1/5/2016 4:00,1.52
1/5/2016 5:00,1.53
1/5/2016 6:00,1.55
1/5/2016 7:00,1.56
1/5/2016 8:00,1.56
1/5/2016 9:00,1.56
1/5/2016 10:00,1.57
1/5/2016 11:00,1.59
1/5/2016 12:00,1.64
1/5/2016 13:00,1.70
1/5/2016 14:00,1.79
1/5/2016 15:00,1.89
1/5/2016 16:00,1.99
